Animal_ID,Species,Breed,Age (yrs),Gender,Size,Health Status,Shelter Stay (days),Adoption Status,Vaccinated,Behavior Score (1–10),
ANI1286,Dog,Poodle,7,Male,Small,Chronic Illness,16,Adopted,Yes,7.9,
ANI1287,Dog,Rottweiler,5.1,Female,Medium,Healthy,83,Adopted,Yes,1,
ANI1288,Dog,German Shepherd,3.8,Male,Medium,Healthy,162,Adopted,No,9.3,
ANI1289,Cat,British Shorthair,3.5,Male,Medium,Healthy,44,Adopted,Yes,2.8,
ANI1290,Dog,Labrador Retriever,4.4,Male,Medium,Minor Injury,134,Adopted,Yes,9.9,
ANI1291,Dog,Poodle,7.5,Male,Medium,Healthy,100,Not Adopted,Yes,7.6,
ANI1292,Cat,Sphynx,10.6,Male,Small,Healthy,22,Adopted,Yes,8,
ANI1293,Dog,Labrador Retriever,2.4,Male,Medium,Healthy,18,Adopted,Yes,6.9,
ANI1294,Dog,Poodle,1.9,Female,Large,Minor Injury,12,Not Adopted,No,5.2,
ANI1295,Dog,Bulldog,0.8,Female,Medium,Minor Injury,123,Adopted,Yes,6.1,
ANI1296,Cat,Maine Coon,0.7,Female,Medium,Healthy,117,Not Adopted,Yes,1.4,
ANI1297,Dog,Poodle,10.6,Male,Medium,Minor Injury,51,Adopted,Yes,6.6,
ANI1298,Cat,Bengal,1.3,Male,Medium,Healthy,71,Adopted,Yes,6.6,
ANI1299,Dog,German Shepherd,8.9,Female,Medium,Minor Injury,48,Adopted,Yes,9,
ANI1300,Dog,Bulldog,10.5,Female,Medium,Healthy,19,Not Adopted,No,5.6,
ANI1301,Dog,German Shepherd,1.6,Male,Large,Healthy,6,Adopted,No,1.7,
ANI1302,Dog,Poodle,5.5,Male,Small,Chronic Illness,84,Not Adopted,Yes,3.8,
ANI1303,Cat,Siamese,17.3,Male,Small,Healthy,155,Adopted,No,6.9,
ANI1304,Cat,Bengal,15.1,Male,Medium,Minor Injury,53,Not Adopted,Yes,3.2,
ANI1305,Other,Parrot,5.2,Male,Large,Healthy,107,Adopted,Yes,3.5,
ANI1306,Dog,Labrador Retriever,9.3,Female,Small,Healthy,101,Adopted,Yes,8.4,
ANI1307,Dog,Labrador Retriever,10.1,Female,Small,Healthy,48,Adopted,Yes,6.3,
ANI1308,Cat,Maine Coon,6.6,Female,Small,Healthy,135,Not Adopted,Yes,5.6,
ANI1309,Dog,Beagle,10.8,Female,Small,Healthy,69,Not Adopted,No,3.9,
ANI1310,Dog,Labrador Retriever,5.9,Female,Medium,Healthy,11,Adopted,Yes,7.6,
ANI1311,Dog,Poodle,6.6,Female,Medium,Healthy,143,Adopted,Yes,3.6,
ANI1312,Dog,Beagle,12,Female,Medium,Healthy,131,Adopted,Yes,7.6,
ANI1313,Other,Guinea Pig,8.5,Male,Medium,Chronic Illness,122,Not Adopted,Yes,1.6,
ANI1314,Cat,Bengal,6.8,Male,Small,Chronic Illness,69,Adopted,Yes,8.8,
ANI1315,Cat,Bengal,0.7,Male,Small,Healthy,23,Adopted,Yes,5.5,
ANI1316,Dog,Beagle,7.7,Female,Medium,Minor Injury,37,Adopted,Yes,4.9,
ANI1317,Dog,Beagle,8.6,Female,Large,Healthy,9,Adopted,Yes,6.5,
ANI1318,Dog,Beagle,8,Male,Large,Healthy,15,Not Adopted,Yes,6.6,
ANI1319,Dog,Beagle,11.6,Female,Small,Minor Injury,131,Adopted,Yes,2.2,
ANI1320,Dog,German Shepherd,10.4,Male,Large,Chronic Illness,93,Not Adopted,Yes,7.8,
ANI1321,Cat,British Shorthair,8.4,Female,Medium,Healthy,17,Adopted,Yes,3.5,
ANI1322,Cat,Sphynx,1.6,Male,Medium,Minor Injury,154,Not Adopted,Yes,9.1,
ANI1323,Dog,Rottweiler,6,Male,Medium,Healthy,149,Not Adopted,Yes,8.4,
ANI1324,Other,Turtle,7,Male,Medium,Chronic Illness,72,Not Adopted,Yes,4.1,
ANI1325,Cat,Ragdoll,11.1,Male,Medium,Healthy,149,Adopted,No,8.3,
ANI1326,Cat,British Shorthair,9.9,Male,Small,Healthy,121,Adopted,Yes,4.2,
ANI1327,Cat,Bengal,8.7,Male,Small,Healthy,11,Adopted,No,1.9,
ANI1328,Dog,Labrador Retriever,3.9,Female,Small,Healthy,166,Not Adopted,Yes,9.7,
ANI1329,Dog,German Shepherd,3.7,Female,Medium,Healthy,72,Not Adopted,Yes,6.9,
ANI1330,Dog,German Shepherd,6.3,Male,Medium,Chronic Illness,106,Adopted,Yes,5.1,
ANI1331,Cat,Ragdoll,3.3,Female,Medium,Healthy,125,Adopted,No,4.6,
ANI1332,Dog,Beagle,4.4,Female,Small,Healthy,35,Adopted,Yes,3.9,
ANI1333,Dog,Bulldog,4.2,Male,Large,Healthy,119,Adopted,Yes,9.8,
ANI1334,Dog,Labrador Retriever,7.3,Male,Large,Healthy,14,Not Adopted,No,2.2,
ANI1335,Dog,Bulldog,1.3,Male,Medium,Healthy,14,Adopted,Yes,3.8,
ANI1336,Cat,Sphynx,15,Male,Large,Healthy,10,Adopted,Yes,5.4,
ANI1337,Cat,Sphynx,10.3,Female,Medium,Healthy,140,Adopted,Yes,5.3,
ANI1338,Dog,Golden Retriever,8.2,Male,Large,Healthy,38,Adopted,Yes,5.2,
ANI1339,Dog,Bulldog,8.6,Female,Small,Healthy,108,Not Adopted,Yes,2.6,
ANI1340,Dog,Poodle,3.9,Female,Medium,Minor Injury,119,Not Adopted,Yes,2.3,
ANI1341,Dog,Bulldog,5.9,Male,Small,Minor Injury,34,Not Adopted,Yes,3.3,
ANI1342,Dog,German Shepherd,11.5,Female,Small,Healthy,169,Not Adopted,Yes,9.2,
ANI1343,Dog,Labrador Retriever,9.3,Male,Small,Healthy,10,Adopted,No,2,
ANI1344,Dog,Rottweiler,11.6,Female,Medium,Healthy,122,Adopted,No,7.8,
ANI1345,Cat,Ragdoll,13.6,Male,Medium,Healthy,145,Not Adopted,Yes,7.8,
ANI1346,Cat,Maine Coon,3.6,Female,Medium,Healthy,145,Not Adopted,Yes,8.3,
ANI1347,Dog,Labrador Retriever,1.2,Female,Small,Healthy,115,Not Adopted,Yes,9,
ANI1348,Dog,Labrador Retriever,7.1,Male,Large,Healthy,1,Adopted,Yes,3.4,
ANI1349,Cat,British Shorthair,6.8,Female,Medium,Healthy,12,Not Adopted,Yes,3,
ANI1350,Dog,German Shepherd,3.7,Female,Medium,Healthy,103,Adopted,Yes,5.2,
ANI1351,Cat,Siamese,14.6,Female,Medium,Minor Injury,4,Not Adopted,Yes,3.4,
ANI1352,Cat,Siamese,6.9,Female,Small,Chronic Illness,170,Not Adopted,Yes,7.6,
ANI1353,Dog,Poodle,4.1,Female,Medium,Healthy,141,Adopted,Yes,6.7,
ANI1354,Dog,Bulldog,10.3,Male,Large,Healthy,98,Not Adopted,No,8.9,
ANI1355,Cat,Persian,15.3,Male,Small,Minor Injury,106,Not Adopted,Yes,1.7,
ANI1356,Dog,Bulldog,4.6,Female,Medium,Chronic Illness,85,Not Adopted,Yes,9.2,
ANI1357,Cat,Bengal,15.1,Male,Large,Healthy,121,Adopted,Yes,3.6,
ANI1358,Cat,Siamese,15.4,Female,Medium,Healthy,132,Not Adopted,Yes,5.4,
ANI1359,Cat,Bengal,7.9,Female,Small,Healthy,82,Adopted,Yes,4.9,
ANI1360,Dog,Labrador Retriever,1.3,Male,Small,Healthy,19,Adopted,Yes,7.8,
ANI1361,Cat,Persian,0.5,Male,Small,Healthy,130,Adopted,Yes,4.8,
ANI1362,Dog,Beagle,6.5,Female,Medium,Healthy,12,Adopted,Yes,9.5,
ANI1363,Dog,Golden Retriever,4.5,Male,Medium,Healthy,81,Adopted,Yes,9.1,
ANI1364,Cat,Ragdoll,17.9,Female,Small,Healthy,74,Adopted,Yes,8.8,
ANI1365,Dog,Bulldog,9.4,Male,Large,Minor Injury,98,Adopted,No,1.6,
ANI1366,Other,Guinea Pig,7.7,Female,Medium,Healthy,6,Adopted,Yes,8.7,
ANI1367,Cat,Ragdoll,17.2,Male,Small,Healthy,136,Adopted,Yes,8,
ANI1368,Dog,Poodle,10.7,Female,Medium,Healthy,125,Not Adopted,No,1.9,
ANI1369,Dog,Rottweiler,4.2,Male,Medium,Healthy,51,Adopted,Yes,2,
ANI1370,Dog,Beagle,2.4,Female,Small,Chronic Illness,11,Adopted,Yes,1.9,
ANI1371,Dog,Poodle,9.1,Male,Small,Healthy,127,Adopted,Yes,1.1,
ANI1372,Dog,Beagle,4.9,Female,Large,Healthy,140,Adopted,Yes,5.9,
ANI1373,Cat,Persian,8.8,Female,Medium,Minor Injury,73,Adopted,Yes,9.8,
ANI1374,Dog,Rottweiler,7.7,Male,Medium,Healthy,2,Adopted,Yes,4.9,
ANI1375,Dog,Bulldog,10.9,Male,Medium,Chronic Illness,8,Not Adopted,No,5.9,
ANI1376,Cat,Sphynx,7.8,Male,Small,Healthy,139,Adopted,No,9.7,
ANI1377,Dog,Golden Retriever,9.5,Female,Small,Healthy,124,Not Adopted,Yes,3.3,
ANI1378,Cat,Ragdoll,5.2,Female,Medium,Healthy,53,Adopted,Yes,8.7,
ANI1379,Dog,Rottweiler,8.5,Female,Small,Healthy,10,Adopted,Yes,5.9,
ANI1380,Dog,Golden Retriever,0.5,Male,Small,Minor Injury,112,Adopted,Yes,6.1,
ANI1381,Cat,Persian,15.8,Male,Large,Minor Injury,8,Not Adopted,Yes,4.1,
ANI1382,Cat,Persian,1,Female,Large,Healthy,36,Adopted,Yes,6.1,
ANI1383,Cat,Siamese,13,Male,Medium,Healthy,106,Adopted,No,1.7,
ANI1384,Cat,Ragdoll,1.3,Female,Large,Minor Injury,14,Adopted,No,7.9,
ANI1385,Cat,Siamese,5.2,Male,Small,Chronic Illness,86,Not Adopted,Yes,3.6,
ANI1386,Dog,Rottweiler,6.2,Female,Large,Healthy,149,Adopted,Yes,9,
ANI1387,Dog,Golden Retriever,5.3,Male,Small,Healthy,50,Adopted,Yes,4.3,
ANI1388,Cat,Bengal,3.9,Male,Large,Healthy,167,Adopted,Yes,2.3,
ANI1389,Cat,Siamese,6.3,Female,Large,Minor Injury,20,Not Adopted,Yes,7.3,
ANI1390,Other,Rabbit,7.4,Female,Medium,Healthy,87,Not Adopted,Yes,2.5,
ANI1391,Dog,Poodle,8.2,Female,Large,Healthy,135,Adopted,Yes,7.8,
ANI1392,Dog,Golden Retriever,1.3,Male,Medium,Minor Injury,137,Adopted,Yes,9.7,
ANI1393,Cat,Sphynx,13.6,Male,Small,Healthy,129,Not Adopted,Yes,8,
ANI1394,Dog,Rottweiler,1.1,Female,Medium,Healthy,154,Not Adopted,Yes,1.2,
ANI1395,Cat,British Shorthair,10,Female,Medium,Healthy,166,Adopted,Yes,6.4,
ANI1396,Cat,Persian,5.1,Male,Small,Healthy,38,Adopted,Yes,7.3,
ANI1397,Dog,Beagle,7.3,Male,Medium,Healthy,44,Adopted,Yes,8.4,
ANI1398,Cat,British Shorthair,5.1,Male,Large,Healthy,86,Adopted,No,1.5,
ANI1399,Cat,Bengal,17.7,Female,Small,Healthy,44,Not Adopted,Yes,5.3,
ANI1400,Dog,Poodle,4.1,Male,Medium,Healthy,74,Adopted,Yes,5.8,
ANI1401,Cat,Bengal,4.7,Male,Large,Minor Injury,119,Adopted,Yes,2.5,
ANI1402,Dog,Rottweiler,3.7,Male,Large,Minor Injury,122,Not Adopted,Yes,3.9,
ANI1403,Cat,Bengal,16.2,Male,Large,Healthy,134,Adopted,Yes,5,
ANI1404,Dog,Rottweiler,7.8,Male,Medium,Healthy,145,Adopted,Yes,8.5,
ANI1405,Cat,Ragdoll,13.3,Female,Large,Healthy,51,Adopted,Yes,9.4,
ANI1406,Dog,Poodle,11.1,Male,Medium,Healthy,38,Not Adopted,Yes,6.7,
ANI1407,Dog,Beagle,11,Female,Small,Healthy,152,Not Adopted,Yes,4.6,
ANI1408,Cat,Bengal,13.4,Male,Medium,Healthy,51,Not Adopted,Yes,3.3,
ANI1409,Dog,Golden Retriever,2.8,Female,Medium,Healthy,10,Adopted,Yes,9.8,
ANI1410,Dog,Beagle,10.2,Female,Small,Healthy,120,Adopted,Yes,9.8,
ANI1411,Other,Guinea Pig,2.4,Female,Medium,Healthy,149,Adopted,Yes,9.3,
ANI1412,Other,Rabbit,7.6,Female,Medium,Healthy,70,Not Adopted,Yes,8.1,
ANI1413,Cat,British Shorthair,12.5,Male,Small,Healthy,85,Adopted,Yes,3.9,
ANI1414,Cat,Sphynx,13.8,Male,Medium,Healthy,57,Adopted,No,8.4,
ANI1415,Dog,German Shepherd,6.6,Female,Medium,Healthy,126,Not Adopted,Yes,4.7,
ANI1416,Dog,Golden Retriever,7.8,Female,Medium,Minor Injury,39,Adopted,No,3.9,
ANI1417,Dog,Rottweiler,11.5,Female,Small,Minor Injury,33,Not Adopted,No,7.7,
ANI1418,Cat,Sphynx,2.3,Female,Small,Healthy,18,Adopted,Yes,1.7,
ANI1419,Cat,Ragdoll,5.9,Female,Medium,Healthy,57,Adopted,Yes,1.4,
ANI1420,Cat,Ragdoll,11.2,Male,Large,Healthy,96,Not Adopted,Yes,5,
ANI1421,Cat,Maine Coon,17.4,Male,Small,Healthy,48,Adopted,No,5,
ANI1422,Dog,German Shepherd,1.6,Female,Medium,Healthy,42,Adopted,Yes,9.1,
ANI1423,Dog,Beagle,0.8,Female,Small,Minor Injury,27,Not Adopted,Yes,2.1,
ANI1424,Dog,Beagle,1.1,Male,Medium,Healthy,74,Not Adopted,Yes,2.1,
ANI1425,Dog,Bulldog,1.1,Female,Large,Minor Injury,110,Not Adopted,Yes,2.3,
ANI1426,Dog,Labrador Retriever,10.9,Male,Medium,Healthy,170,Not Adopted,Yes,1.3,
ANI1427,Cat,Ragdoll,13.1,Female,Small,Healthy,32,Not Adopted,Yes,1.6,
ANI1428,Dog,Beagle,8.3,Male,Medium,Minor Injury,26,Adopted,Yes,6.9,
ANI1429,Dog,Beagle,6.5,Male,Small,Healthy,25,Not Adopted,No,4.9,
ANI1430,Dog,Rottweiler,9.5,Female,Medium,Healthy,75,Not Adopted,Yes,7.9,
ANI1431,Cat,British Shorthair,3.2,Male,Medium,Healthy,23,Adopted,Yes,9.9,
ANI1432,Cat,Sphynx,7.4,Female,Small,Healthy,57,Adopted,Yes,6.9,
ANI1433,Dog,German Shepherd,6.1,Female,Small,Chronic Illness,126,Not Adopted,Yes,1.5,
ANI1434,Dog,Labrador Retriever,1.8,Female,Medium,Healthy,87,Not Adopted,Yes,1.9,
ANI1435,Cat,Sphynx,7.8,Male,Large,Chronic Illness,31,Not Adopted,Yes,8.9,
ANI1436,Dog,Golden Retriever,4.1,Male,Large,Chronic Illness,64,Not Adopted,Yes,5.7,
ANI1437,Cat,Ragdoll,1.1,Male,Small,Minor Injury,33,Adopted,Yes,8.4,
ANI1438,Cat,Bengal,2.9,Female,Medium,Healthy,2,Adopted,Yes,8.7,
ANI1439,Dog,Rottweiler,9.3,Female,Medium,Healthy,18,Adopted,Yes,9.3,
ANI1440,Dog,Golden Retriever,0.7,Female,Medium,Minor Injury,175,Adopted,Yes,9.5,
ANI1441,Other,Guinea Pig,9.4,Female,Medium,Healthy,161,Not Adopted,Yes,6,
ANI1442,Dog,Rottweiler,1.5,Female,Large,Healthy,84,Adopted,Yes,4.1,
ANI1443,Dog,German Shepherd,9.7,Female,Large,Healthy,35,Adopted,Yes,9.7,
ANI1444,Cat,British Shorthair,16.2,Male,Medium,Healthy,179,Adopted,Yes,5.9,
ANI1445,Cat,Persian,17,Female,Medium,Healthy,114,Not Adopted,Yes,1.6,
ANI1446,Other,Rabbit,8.7,Male,Medium,Healthy,146,Adopted,No,6.8,
ANI1447,Cat,Ragdoll,5.5,Female,Small,Healthy,110,Adopted,No,6.3,
ANI1448,Dog,Golden Retriever,4.3,Female,Medium,Minor Injury,88,Adopted,Yes,9.1,
ANI1449,Dog,Bulldog,5.4,Female,Medium,Healthy,72,Adopted,Yes,6.9,
ANI1450,Cat,Siamese,2.9,Male,Medium,Chronic Illness,125,Not Adopted,Yes,4.1,
ANI1451,Cat,Ragdoll,0.9,Male,Small,Healthy,30,Adopted,Yes,9.7,
ANI1452,Dog,German Shepherd,10.5,Male,Small,Minor Injury,172,Adopted,Yes,8.2,
ANI1453,Cat,Persian,10.2,Male,Large,Healthy,53,Adopted,Yes,6.7,
ANI1454,Dog,Beagle,7.5,Male,Small,Minor Injury,138,Not Adopted,Yes,3.6,
ANI1455,Dog,Beagle,11.2,Female,Medium,Healthy,87,Adopted,Yes,4.4,
ANI1456,Dog,Bulldog,8.1,Female,Small,Minor Injury,177,Not Adopted,Yes,7,
ANI1457,Dog,German Shepherd,8.4,Male,Small,Healthy,139,Not Adopted,Yes,1.6,
ANI1458,Dog,Poodle,9.6,Male,Small,Minor Injury,164,Adopted,Yes,3.3,
ANI1459,Dog,Bulldog,1.8,Male,Small,Chronic Illness,161,Adopted,Yes,7.4,
ANI1460,Dog,Rottweiler,4.6,Female,Large,Healthy,175,Not Adopted,Yes,5.3,
ANI1461,Cat,British Shorthair,17.4,Female,Small,Healthy,13,Not Adopted,Yes,4.6,
ANI1462,Cat,Maine Coon,16.7,Female,Large,Minor Injury,40,Not Adopted,Yes,2.4,
ANI1463,Cat,Sphynx,16,Male,Medium,Healthy,89,Adopted,Yes,5,
ANI1464,Other,Guinea Pig,4.8,Female,Medium,Minor Injury,68,Adopted,Yes,7.9,
ANI1465,Dog,German Shepherd,10.4,Female,Medium,Healthy,42,Adopted,Yes,3.4,
ANI1466,Dog,Bulldog,1.1,Male,Medium,Healthy,147,Adopted,Yes,1,
ANI1467,Cat,Ragdoll,3.1,Female,Medium,Chronic Illness,94,Adopted,No,7,
ANI1468,Dog,Bulldog,5.3,Male,Small,Healthy,19,Adopted,Yes,9.8,
ANI1469,Other,Turtle,5.1,Female,Medium,Minor Injury,23,Adopted,Yes,6.5,
ANI1470,Dog,Bulldog,3.5,Male,Large,Healthy,54,Not Adopted,Yes,2.1,
ANI1471,Other,Hamster,3.9,Female,Large,Healthy,65,Not Adopted,Yes,3.9,
ANI1472,Dog,Poodle,2.4,Female,Large,Healthy,140,Adopted,Yes,8.8,
ANI1473,Cat,Persian,9.1,Female,Medium,Healthy,24,Not Adopted,Yes,3.1,
ANI1474,Dog,Labrador Retriever,9.6,Female,Medium,Healthy,34,Adopted,Yes,6.5,
ANI1475,Other,Hamster,6.8,Male,Medium,Healthy,53,Not Adopted,Yes,4.6,
ANI1476,Dog,Rottweiler,1.7,Male,Medium,Healthy,136,Adopted,Yes,2.9,
ANI1477,Cat,Siamese,9,Male,Small,Healthy,18,Adopted,No,8.3,
ANI1478,Other,Turtle,7.1,Male,Medium,Minor Injury,57,Adopted,Yes,7.7,
ANI1479,Dog,Poodle,6.6,Female,Small,Healthy,112,Adopted,Yes,7,
ANI1480,Cat,Ragdoll,7.4,Male,Medium,Healthy,5,Not Adopted,Yes,3.1,
ANI1481,Cat,Maine Coon,11.4,Female,Large,Healthy,154,Adopted,Yes,1.9,
ANI1482,Dog,Golden Retriever,11.6,Female,Small,Healthy,158,Adopted,Yes,6.2,
ANI1483,Cat,Persian,2.2,Female,Small,Minor Injury,13,Adopted,Yes,6,
ANI1484,Cat,Maine Coon,7.3,Male,Small,Healthy,83,Adopted,No,2.7,
ANI1485,Cat,Maine Coon,7.6,Female,Large,Healthy,29,Adopted,Yes,1.5,
ANI1486,Dog,Labrador Retriever,7.1,Female,Medium,Healthy,3,Not Adopted,Yes,1.7,
ANI1487,Dog,Beagle,2.3,Male,Medium,Healthy,90,Adopted,Yes,9.9,
ANI1488,Other,Rabbit,2.2,Female,Large,Minor Injury,104,Not Adopted,Yes,8.1,
ANI1489,Cat,British Shorthair,5.5,Female,Large,Healthy,123,Not Adopted,Yes,9.3,
ANI1490,Dog,Golden Retriever,11.5,Male,Medium,Minor Injury,76,Adopted,Yes,2.8,
ANI1491,Cat,Ragdoll,13.3,Female,Medium,Healthy,130,Adopted,Yes,9.6,
ANI1492,Dog,Golden Retriever,8.1,Male,Medium,Healthy,108,Adopted,Yes,2.3,
ANI1493,Dog,Bulldog,9.9,Male,Medium,Chronic Illness,156,Not Adopted,Yes,5.6,
ANI1494,Dog,Rottweiler,2,Male,Small,Healthy,82,Adopted,No,8.5,
ANI1495,Dog,Rottweiler,10.4,Male,Large,Healthy,77,Not Adopted,Yes,4.1,
ANI1496,Cat,Bengal,10.9,Male,Medium,Healthy,2,Adopted,Yes,4.8,
ANI1497,Dog,Bulldog,4.4,Male,Small,Healthy,127,Not Adopted,Yes,2.2,
ANI1498,Other,Hamster,8.3,Female,Medium,Healthy,135,Not Adopted,Yes,2.1,
ANI1499,Other,Turtle,8.1,Female,Small,Healthy,26,Not Adopted,Yes,6.6,
ANI1500,Cat,British Shorthair,15.3,Female,Small,Healthy,88,Not Adopted,Yes,7.1,
ANI1501,Dog,Poodle,1.8,Male,Medium,Healthy,16,Adopted,No,8,
ANI1502,Dog,Rottweiler,11.6,Male,Small,Healthy,151,Adopted,Yes,6,
ANI1503,Cat,British Shorthair,17.3,Female,Medium,Healthy,168,Adopted,Yes,6.8,
ANI1504,Cat,Sphynx,6.8,Male,Medium,Healthy,73,Adopted,Yes,1.1,
ANI1505,Dog,German Shepherd,1.3,Male,Small,Healthy,32,Adopted,Yes,2.5,
ANI1506,Cat,Siamese,3.4,Female,Large,Chronic Illness,15,Adopted,Yes,9.9,
ANI1507,Cat,Bengal,17.9,Male,Small,Healthy,141,Not Adopted,Yes,1.7,
ANI1508,Cat,Maine Coon,10.4,Female,Medium,Minor Injury,5,Not Adopted,Yes,7.1,
ANI1509,Cat,British Shorthair,6.7,Female,Medium,Healthy,74,Not Adopted,Yes,2.6,
ANI1510,Cat,Persian,5.5,Male,Small,Healthy,52,Adopted,No,7.5,
ANI1511,Dog,Golden Retriever,3.5,Male,Small,Healthy,77,Adopted,Yes,7.4,
ANI1512,Cat,Maine Coon,12.1,Female,Medium,Healthy,169,Adopted,Yes,3.1,
ANI1513,Cat,Siamese,7.8,Male,Large,Healthy,110,Adopted,No,3.4,
ANI1514,Dog,German Shepherd,11.6,Male,Small,Healthy,178,Not Adopted,Yes,6.9,
ANI1515,Dog,Beagle,8.4,Female,Medium,Healthy,143,Adopted,Yes,4.5,
ANI1516,Dog,Beagle,9.6,Male,Medium,Chronic Illness,106,Not Adopted,No,2.8,
ANI1517,Cat,Siamese,5.6,Female,Large,Healthy,127,Not Adopted,Yes,7.6,
ANI1518,Other,Guinea Pig,1.3,Female,Medium,Healthy,7,Not Adopted,Yes,2.4,
ANI1519,Dog,Poodle,6.1,Male,Medium,Minor Injury,40,Adopted,Yes,8.7,
ANI1520,Cat,Persian,6,Male,Medium,Healthy,156,Not Adopted,Yes,5.6,
ANI1521,Dog,German Shepherd,2.8,Male,Medium,Healthy,160,Adopted,Yes,2,
ANI1522,Other,Turtle,9.6,Male,Large,Healthy,99,Adopted,Yes,7.2,
ANI1523,Cat,Sphynx,8.3,Male,Small,Chronic Illness,143,Adopted,Yes,5.7,
ANI1524,Cat,Siamese,3.6,Female,Medium,Minor Injury,85,Not Adopted,Yes,3.7,
ANI1525,Dog,Poodle,2.8,Male,Large,Healthy,65,Adopted,Yes,4.8,
ANI1526,Dog,German Shepherd,3.7,Female,Large,Healthy,132,Adopted,Yes,3.7,
ANI1527,Dog,Poodle,12,Female,Large,Chronic Illness,11,Not Adopted,No,3.4,
ANI1528,Dog,German Shepherd,3.6,Female,Medium,Healthy,108,Not Adopted,Yes,2.5,
ANI1529,Cat,British Shorthair,6.3,Female,Medium,Healthy,26,Adopted,No,4.3,
ANI1530,Cat,Bengal,12,Male,Medium,Healthy,165,Adopted,Yes,3.3,
ANI1531,Other,Rabbit,3.3,Female,Medium,Healthy,151,Not Adopted,Yes,7.2,
ANI1532,Other,Turtle,2.6,Female,Small,Healthy,85,Adopted,Yes,7.2,
ANI1533,Cat,Ragdoll,3.3,Male,Medium,Healthy,168,Not Adopted,Yes,5.5,
ANI1534,Cat,Sphynx,6,Male,Medium,Healthy,151,Adopted,Yes,8,
ANI1535,Cat,Sphynx,2.4,Female,Small,Healthy,123,Adopted,Yes,8.6,
ANI1536,Cat,Maine Coon,0.8,Male,Medium,Minor Injury,144,Adopted,Yes,6.2,
ANI1537,Dog,Bulldog,9.8,Male,Medium,Healthy,68,Adopted,Yes,6.6,
ANI1538,Dog,German Shepherd,2.1,Male,Large,Healthy,104,Adopted,Yes,3.5,
ANI1539,Dog,Labrador Retriever,9.4,Male,Small,Healthy,80,Adopted,Yes,9.1,
ANI1540,Other,Hamster,8.1,Female,Small,Healthy,159,Not Adopted,Yes,1.2,
ANI1541,Cat,Siamese,9.9,Female,Medium,Healthy,53,Adopted,Yes,4.1,
ANI1542,Dog,Bulldog,4.1,Female,Small,Healthy,106,Adopted,Yes,7.5,
ANI1543,Cat,Persian,3,Male,Medium,Minor Injury,153,Not Adopted,Yes,1.7,
ANI1544,Cat,Maine Coon,13.4,Male,Medium,Chronic Illness,44,Adopted,Yes,2.6,
ANI1545,Dog,Rottweiler,7.4,Male,Small,Healthy,140,Adopted,No,6.3,
ANI1546,Dog,German Shepherd,8,Male,Medium,Healthy,90,Adopted,Yes,6,
ANI1547,Cat,Persian,0.7,Male,Medium,Healthy,101,Adopted,Yes,7.7,
ANI1548,Dog,Golden Retriever,11.2,Female,Medium,Minor Injury,97,Not Adopted,Yes,8.3,
ANI1549,Cat,British Shorthair,1.7,Male,Large,Minor Injury,9,Adopted,No,2.2,
ANI1550,Dog,German Shepherd,4.7,Female,Large,Healthy,12,Not Adopted,Yes,1.2,
ANI1551,Cat,Persian,7.5,Male,Medium,Healthy,69,Adopted,No,7.2,
ANI1552,Cat,British Shorthair,0.5,Male,Medium,Minor Injury,28,Adopted,Yes,3.7,
ANI1553,Cat,Bengal,9.2,Male,Medium,Healthy,56,Adopted,Yes,6.6,
ANI1554,Cat,Sphynx,13.7,Female,Large,Healthy,99,Not Adopted,No,2.4,
ANI1555,Dog,Beagle,10,Female,Medium,Healthy,110,Adopted,Yes,5.2,
ANI1556,Dog,German Shepherd,10.6,Female,Medium,Healthy,77,Adopted,Yes,5.5,
ANI1557,Dog,German Shepherd,6.1,Male,Large,Minor Injury,103,Not Adopted,Yes,6.3,
ANI1558,Cat,British Shorthair,11.5,Male,Small,Chronic Illness,106,Adopted,No,5.6,
ANI1559,Cat,Persian,1.9,Female,Large,Healthy,109,Adopted,Yes,5.5,
ANI1560,Cat,Sphynx,9,Male,Small,Healthy,112,Not Adopted,Yes,4,
ANI1561,Dog,German Shepherd,2.3,Female,Medium,Healthy,58,Adopted,Yes,1.6,
ANI1562,Dog,Golden Retriever,4.8,Male,Medium,Healthy,78,Not Adopted,Yes,1.8,
ANI1563,Dog,German Shepherd,4.3,Male,Large,Healthy,75,Adopted,No,4.9,
ANI1564,Dog,Beagle,5.4,Male,Large,Healthy,42,Not Adopted,Yes,4.2,
ANI1565,Cat,Ragdoll,10.5,Male,Medium,Healthy,166,Not Adopted,Yes,5.6,
ANI1566,Dog,Beagle,10.9,Female,Medium,Healthy,68,Adopted,No,3.7,
ANI1567,Dog,Golden Retriever,5,Male,Medium,Healthy,33,Adopted,Yes,7.2,
ANI1568,Cat,Persian,17.7,Male,Large,Healthy,71,Not Adopted,Yes,8.8,
ANI1569,Dog,Golden Retriever,9.2,Male,Medium,Healthy,56,Adopted,Yes,3.7,
ANI1570,Dog,Poodle,6.4,Male,Medium,Healthy,105,Adopted,Yes,2.7,
ANI1571,Cat,Ragdoll,11.8,Female,Small,Chronic Illness,101,Not Adopted,Yes,2,
ANI1572,Dog,German Shepherd,1.7,Female,Medium,Healthy,51,Adopted,Yes,6.5,
